term,E,P,A,e_e,e_p,e_a,fe_e,fe_p,fe_a
salesclerk,0.77,-0.01,1.08,1.81,0.36,1.29,1.81,-0.04,1.29
social_worker,2.12,1.27,-0.1,2.12,1.91,0.4,2.12,2.06,0.4
library_assistant,1.78,-0.06,-2.02,1.57,0.7,-0.88,1.57,0.97,-0.88
secretary,1.59,-0.22,-0.31,1.86,0.2,0.28,1.86,0.07,0.28
manager,1.15,2.61,1.29,2.05,3.38,1.41,2.05,3.51,1.41
accountant,1.03,1.16,-0.48,1.53,1.81,0.16,1.53,2.09,0.16
shop_clerk,1.27,-0.38,0.1,1.8,-0.29,0.57,1.8,-0.29,0.57
teacher,2.5,2.31,0.32,2.33,3.02,0.66,2.33,3.32,0.66
architect,1.52,1.7,-0.28,1.83,2.48,0.3,1.83,2.76,0.3
sewing_machine_operator,1.03,-0.53,-0.07,1.64,-0.17,0.45,1.64,-0.43,0.45
mechanical_engineer,1.63,1.69,-0.06,1.93,2.42,0.45,1.93,2.65,0.45
nurse,2.84,1.75,0.53,2.46,2.27,0.77,2.46,2.41,0.77
computer_programmer,1.51,1.46,0.01,1.89,2.15,0.5,1.89,2.31,0.5
actor,0.82,1.36,1.68,2,1.93,1.72,2,1.69,1.72
bellhop,1.2,-0.82,0.95,1.98,-0.66,1.17,1.98,-1.21,1.17
decorator,1.7,0.81,0.84,2.16,1.21,1.05,2.16,1.06,1.05
tool_and_die_maker,0.8,0.19,-0.15,1.48,0.71,0.4,1.48,0.62,0.4
elementary_school_teacher,2.66,1.81,0.71,2.44,2.31,0.89,2.44,2.43,0.89
bank_teller,1.27,0.57,-0.52,1.65,1.18,0.14,1.65,1.26,0.14
machine_operator_in_a_factory,0.94,0.29,1.1,1.9,0.69,1.29,1.9,0.35,1.29
machine_operator,0.94,0.29,1.1,1.9,0.69,1.29,1.9,0.35,1.29
carpenter,1.25,0.65,0.86,1.98,1.09,1.1,1.98,0.89,1.1
clerical_worker,1.11,-0.09,-0.47,1.58,0.39,0.17,1.58,0.32,0.17
janitor,1.45,-0.87,-0.94,1.64,-0.47,-0.15,1.64,-0.61,-0.15
doctor,2.69,2.94,0.37,2.39,3.74,0.68,2.39,4.17,0.68
manager_of_branch_store,1.23,1.42,1.25,2.07,1.95,1.37,2.07,1.83,1.37
craftsman,1.59,1.07,-0.31,1.86,1.73,0.28,1.86,1.88,0.28
cashier,0.65,-0.73,0.42,1.55,-0.42,0.82,1.55,-0.83,0.82
professional,1.72,2.23,0.09,2,3.03,0.54,2,3.35,0.54
receptionist,1.27,-0.16,-0.04,1.77,0.25,0.47,1.77,0.07,0.47
police_officer,1.05,2.49,1.43,2.04,3.24,1.52,2.04,3.31,1.52
supervisor,0.76,1.99,0.73,1.71,2.77,1.04,1.71,2.88,1.04
file_clerk,0.58,-0.67,-1.05,1.08,-0.24,-0.26,1.08,-0.3,-0.26
clergy,1.08,1.44,-0.73,1.49,2.24,-0.01,1.49,2.56,-0.01
auto_mechanic,1.15,0.58,0.55,1.6,1.06,0.89,1.86,0.91,0.89
taxi_driver,0.75,-0.34,1.67,1.97,-0.07,1.72,1.97,-0.69,1.72
bulldozer_operator,0.44,1.17,1.38,1.72,1.82,1.54,1.72,1.59,1.54
clerk,0.98,-0.4,-0.09,1.6,-0.01,0.44,1.6,-0.24,0.44
salesperson,0.15,0.39,2.14,1.8,0.94,2.14,1.8,0.36,2.14
baby_sitter,2.12,1.36,0.36,2.21,1.91,0.7,2.21,1.99,0.7
plumber,1.51,0.39,-0.11,1.87,0.9,0.42,1.87,0.85,0.42
lawyer,0.83,2.63,1.75,2.03,3.42,1.77,2.03,3.45,1.77
mail_carrier,1.93,0.02,-0.44,1.97,0.5,0.18,1.97,0.45,0.18
telephone_operator,0.4,-0.18,0.57,1.44,0.26,0.93,1.44,-0.07,0.93
flight_attendant,1.51,0.44,0.31,1.96,0.89,0.7,1.96,0.76,0.7
executive,0.82,2.73,1.5,1.95,3.57,1.59,1.95,3.67,1.59
inspector,0.57,1.54,-0.67,1.18,2.36,0.02,1.18,2.69,0.02
professor,1.83,2.27,0.24,2.08,3.04,0.64,2.08,3.34,0.64
librarian,1.83,-0.28,-2.06,1.58,0.46,-0.9,1.58,0.68,-0.9
waitress,1.5,-0.21,1.3,2.19,0.04,1.38,2.19,-0.52,1.38
civil_engineer,1.7,1.55,-0.02,1.97,2.25,0.47,1.97,2.44,0.47
cement_worker,0.79,0.27,0.92,1.78,0.71,1.17,1.78,0.4,1.17
hairdresser,1.56,-0.01,1.01,2.14,0.23,1.18,2.14,-0.14,1.18
housekeeper,1.4,-0.74,-0.53,1.71,-0.38,0.13,1.71,-0.58,0.13
journalist,0.85,1.55,1.02,1.83,2.21,1.24,1.83,2.16,1.24
computer_support_specialist,1.33,0.82,-0.02,1.8,1.4,0.48,1.8,1.43,0.48
bill_collector,-1.07,1.63,1.02,0.2,2.68,1.27,0.2,2.64,1.27
bank_manager,1.11,1.81,0.27,1.77,2.56,0.69,1.77,2.74,0.69
stockbroker,0.27,1.82,1.51,1.66,2.62,1.65,1.66,2.51,1.65
construction_laborer,1.33,0.68,1.59,2.19,1.01,1.6,2.19,0.65,1.6
electrical_linesman,1.01,0.64,0.34,1.73,1.17,0.75,1.73,1.08,0.75
chemist,1.82,1.88,-0.68,1.88,2.76,0.02,1.88,3.16,0.02
landscaper,1.29,0.15,0.28,1.86,0.57,0.69,1.86,0.39,0.69
typist,0.61,-0.38,1.04,1.71,-0.04,1.27,1.71,-0.52,1.27
machine_repairer,1.36,1.02,0.68,1.99,1.54,0.97,1.99,1.46,0.97
cook,2.24,1.69,1.58,2.49,2.02,1.49,2.49,1.92,1.49
chambermaid,0.5,-1.52,-0.84,1.08,-1.26,-0.11,1.08,-1.56,-0.11
security_guard,1.38,1.49,-0.11,1.81,2.21,0.42,1.81,2.41,0.42
technician,1.67,1.08,0.45,2.06,1.61,0.79,2.06,1.6,0.79
physician,2.41,2.35,-0.04,2.23,3.16,0.43,2.23,3.54,0.43
nursing_assistant,2.32,0.94,0.38,2.28,1.39,0.71,2.28,1.38,0.71
travel_agent,1.43,0.54,0.98,2.09,0.91,1.17,2.09,0.66,1.17
legislator,-0.07,2.18,0.31,1,3.13,0.74,1,3.37,0.74
photographer,1.68,1.2,-0.68,1.81,1.95,0.02,1.81,2.2,0.02
handyman,1.76,1.04,0.46,2.1,1.55,0.079,2.1,1.53,0.79
laborer,1.02,-0.11,0.32,1.73,0.28,0.73,1.73,0.03,0.73
electrical_engineer,1.71,1.61,0.28,2.04,2.26,0.67,2.04,2.4,0.67
welder,0.92,0.51,0.88,1.83,0.97,1.14,1.83,0.73,1.14
wholesaler,0.8,1.08,0.54,1.68,1.7,0.9,1.68,1.66,0.9
insurance_agent,0.52,0.68,0.24,1.42,1.28,0.69,1.42,1.22,0.69
assembly_line_worker,0.77,-1.02,0.76,1.72,-0.81,1.06,1.72,-1.36,1.06
physicist,1.6,1.41,-0.43,1.83,2.16,0.19,1.83,2.4,0.19
psychologist,1.61,1.44,-0.89,1.73,2.27,-0.12,1.73,2.62,-0.12
scientist,1.89,1.84,-0.35,1.98,2.64,0.24,1.98,2.97,0.24
biologist,1.83,1.45,-0.11,2,2.14,0.41,2,2.33,0.41
crane_operator,0.94,1.23,0.29,1.68,1.89,0.71,1.68,1.93,0.71
engineer,1.75,1.94,0.3,2.06,2.65,0.69,2.06,2.86,0.69
firefighter,3.27,2.85,2.29,2.85,2.99,1.81,2.85,3.05,1.81
detective,1.65,1.93,-0.8,1.77,2.84,-0.06,1.77,3.28,-0.06
real_estate_agent,0.79,1.04,1.21,1.86,1.6,1.38,1.86,1.39,1.38
civil_servant,1.18,-0.17,-0.54,1.6,0.31,0.12,1.6,0.23,0.12
musician,1.77,1.25,1.47,2.32,1.61,1.47,2.32,1.42,1.47
auctioneer,0.76,1.19,3.03,2.36,1.62,2.71,2.36,1.04,2.71
pharmacist,2.09,1.38,-0.42,2.04,2.11,0.19,2.04,2.35,0.19
textile_worker,0.82,-0.68,0.2,1.59,-0.36,0.65,1.59,-0.71,0.65
garbage_collector,1.25,-0.49,0.42,1.87,-0.21,0.79,1.87,-0.56,0.79
bus_driver,1.31,0.17,0.05,1.81,0.62,0.53,1.81,0.5,0.53
dentist,1.62,1.51,0.08,1.96,2.19,0.54,1.96,2.35,0.54
artist,1.74,0.92,-0.33,1.92,1.55,0.26,1.92,1.67,0.26
electrician,1.26,0.43,-0.11,1.75,0.96,0.42,1.75,0.92,0.42
cabinet_maker,1.1,0.71,0.28,1.76,1.25,0.7,1.76,1.19,0.7
custodian,1.54,-0.82,-0.93,1.69,-0.41,-0.15,1.69,-0.54,-0.15
fire_investigator,1.95,1.66,0.43,2.16,2.27,0.76,2.16,2.4,0.76
nutritionist,2.3,1.2,0.16,2.23,1.75,0.56,2.23,1.84,0.56
sheet_metal_worker,0.91,0.31,1.15,1.9,0.71,1.33,1.9,0.36,1.33
farm_laborer,1.47,-0.01,-0.2,1.83,0.44,0.35,1.83,0.32,0.35
ship_captain,1.89,2.54,1.47,2.36,3.12,1.46,2.36,3.22,1.46
butcher,0.75,0.77,0.67,1.68,1.33,0.99,1.68,1.19,0.99
NA,,,,,,,,,